"INE","ARTICULO_CAS","NOMBRE_CAS","ARTICULO_VAL","NOMBRE_VAL","CENSO","TELÉFONO","EMAIL","ALCALDE/SA","PARTIDO","WEB","PROVINCIA","COMARCA","DIRECCIÓN","CP"
"3002","","Agost","","Agost","5067","965691043","ajuntament@agost.es","Juan Jose Castello Molina","PP","www.agost.es","Alacant","L'Alacantí","Plaça D'Espanya, 1","03698"
"3004","","Aigües","","Aigües","1146","965690061","secretaria@aigues.es;notificaciones@aigues.es","Emilio Jose Solbes Villo","PSPV-PSOE","www.aigues.es","Alacant","L'Alacantí","Mayor, 5","03569"
"3014","","Alicante","","Alacant","349282","965149110","alcaldia@alicante.es","Luis Barcala Sierra","PP","www.alicante.es","Alacant","L'Alacantí","Plaza Del Ayuntamiento, s/n","03002"
"3046","","Busot","","Busot","3534","965699092","busot@busot.es","Alejandro Morant Climent","PP","www.busot.com","Alacant","L'Alacantí","Plaza del Ayuntamiento, 1","03111"
"3050","el ","Campello","el ","Campello","29993","965637200","alcaldia@elcampello.org","Juan Jose Berenguer Alcobendas","PP","www.elcampello.es","Alacant","L'Alacantí","Oncina Giner, 7","03560"
"3083","","Jijona","","Xixona","7032","965610300","alcaldia@xixona.es","Isabel López Galera","PSPV-PSOE","www.xixona.es","Alacant","L'Alacantí","Avda. Constitución, 6","03100"
"3090","","Mutxamel","","Mutxamel","27078","965956960","alcaldia@mutxamel.org","Rafael García Berenguer","PP","www.mutxamel.org","Alacant","L'Alacantí","Av. Carlos Soler, 46","03110"
"3119","","Sant Joan d'Alacant","","Sant Joan d'Alacant","25275","965653245","registro@santjoandalacant.es","Santiago Román Gomez","PP","www.santjoandalacant.es","Alacant","L'Alacantí","Plaza de España, 1","03550"
"3122","","San Vicente del Raspeig","","Sant Vicent del Raspeig","59928","965675065","alcaldia@raspeig.org","José Rafael Pascual Llopis","PP","www.raspeig.org","Alacant","L'Alacantí","Plaza de la Comunitat Valenciana, 1","03690"
"3132","","Torremanzanas","la ","Torre de les Maçanes","714","965619386","torremanzanas@torremanzanas.es","José Miguel Bernabeu Llinares","PP","www.torremanzanas.es","Alacant","L'Alacantí","Av. De España, 3","03108"
"3009","","Alcoy","","Alcoi","59493","965537100","alcaldia@alcoi.org","Antonio Alfonso Frances Perez","PSPV-PSOE","www.alcoi.org","Alacant","L'Alcoià","Plaza De España, 1","03801"
"3021","","Banyeres de Mariola","","Banyeres de Mariola","7255","966567315","secretaria1@portademariola.com","Josep Sempere i Castelló","Compromís","www.portademariola.com","Alacant","L'Alcoià","Plaça L'Ajuntament, 1","03450"
"3032","","Benifallim","","Benifallim","111","965513152","benifallim@benifallim.es","Jose Carlos Barrachina Bernabeu","PP","www.benifallim.es","Alacant","L'Alcoià","Plaza Sagrado Corazón, 1","03816"
"3053","","Castalla","","Castalla","11365","966560801","informacion@castalla.org; tddavo@castalla.org","Jesús López Blanco","PP","www.castalla.org","Alacant","L'Alcoià","Plaça Major, 1","03420"
"3079","","Ibi","","Ibi","23920","965552450","actas@ibi.es","Sergio Carrasco Martinez","PSPV-PSOE","www.ibi.es","Alacant","L'Alcoià","Carrer Les Eres, 48","03440"
"3096","","Onil","","Onil","7763","966544745","info@onil.es","Jaume Pascual Berenguer i Pastor","PP","www.onil.es","Alacant","L'Alcoià","Plaza Mayor, 1","03430"
"3103","","Penàguila","","Penàguila","313","965513001","ajuntament@penaguila.org","Salvador Catalá Picó","PSPV-PSOE","www.penaguila.es","Alacant","L'Alcoià","Plaça L'Eglesia, 1","03815"
"3129","","Tibi","","Tibi","1808","965617102","ajuntament@tibi.es","José Luis Candela Galiano","PSPV-PSOE","www.tibi.es","Alacant","L'Alcoià","Avda. de la Foia de Castalla, 10","03109"
"3023","","Beneixama","","Beneixama","1697","965822101","ayuntamiento@beneixama.es","Vicente Ibañez Cruz","PSPV-PSOE","www.beneixama.es","Alacant","L'Alt Vinalopó","Cardenal Paya, 41","03460"
"3043","","Biar","","Biar","3607","965810374","notificacioneselectronicas@biar.es","María Magdalena Martínez Martínez","PP","www.biar.es","Alacant","L'Alt Vinalopó","Plaza Constitución, 1","03410"
"3051","","Campo de Mirra","el ","Camp de Mirra","442","965820234","info@elcampdemirra.es","Juan Jose Espadas Guerola","PP","www.almirra.com","Alacant","L'Alt Vinalopó","Plaza De España, 8","03469"
"3052","","Cañada","","Cañada","1210","965820001","canyada@canyada.es","Rafael Serrano Revert","PP","www.canyada.net","Alacant","L'Alt Vinalopó","Plaza Mayor, 1","03409"
"3116","","Salinas","","Salinas","1733","965479001","ayuntamiento@salinas.es","Isidro Monzó Pérez","PP","www.salinas.es","Alacant","L'Alt Vinalopó","Plaza De España, 8","03638"
"3123","","Sax","","Sax","10072","965474006","ayuntamiento@sax.es","Laura Estevan Antolín","PP","www.sax.es","Alacant","L'Alt Vinalopó","Plaza Constitucion, 1","03630"
"3140","","Villena","","Villena","34144","965801150","alcaldia@villena.es","Fulgencio Jose Cerdán Barceló","PSPV-PSOE","www.villena.es","Alacant","L'Alt Vinalopó","Plaza Santiago, 1","03400"
"3005","","Albatera","","Albatera","13092","965485000","ayuntamiento@albatera.org","Ana Iluminada Serna García","PP","www.albatera.org","Alacant","El Baix Segura / Vega Baja","Plaza España, 1","03340"
"3012","","Algorfa","","Algorfa","3635","965700146","ayto@algorfa.es","Manuel Ivan Ros Rodes","PSPV-PSOE","www.algorfa.es","Alacant","El Baix Segura / Vega Baja","Plaza España, 20","03169"
"3015","","Almoradí","","Almoradí","21874","965700101","ayuntamiento@almoradi.es","María Gómez García","PP","www.almoradi.es","Alacant","El Baix Segura / Vega Baja","Plaza Constitucion, 1","03160"
"3024","","Benejúzar","","Benejúzar","5625","965356150","secretaria@benejuzar.es","Vicente Cases Sanz","PP","www.benejuzar.es","Alacant","El Baix Segura / Vega Baja","Plaza España, 1","03390"
"3025","","Benferri","","Benferri","2023","965369230","benferri@benferri.es","Luis Vicente Mateo","PSPV-PSOE","www.benferri.es","Alacant","El Baix Segura / Vega Baja","Plaza Constitucion, 1","03316"
"3034","","Benijófar","","Benijófar","3473","966715401","serviciosinformaticos@benijofar.org","Luis Rodriguez Perez","PP","www.ayuntamientobenijofar.es","Alacant","El Baix Segura / Vega Baja","C/ Juan Ramón Jiménez, 8","03178"
"3044","","Bigastro","","Bigastro","7361","965350000","ayuntamiento@aytobigastro.es","Teresa María Belmonte Sánchez","PP","www.bigastro.es","Alacant","El Baix Segura / Vega Baja","Plaza Constitución,1","03380"
"3049","","Callosa de Segura","","Callosa de Segura","19484","965310550","info@callosadesegura.es","Manuel Martínez Sirvent","PP","www.callosadesegura.es","Alacant","El Baix Segura / Vega Baja","Plaza España, 1","03360"
"3055","","Catral","","Catral","9275","965723001","notificaciones@ayuntamientocatral.com","Joaquín Lucas Ferrández","PP","www.ayuntamientocatral.com","Alacant","El Baix Segura / Vega Baja","Plaza de España, 1","03158"
"3058","","Cox","","Cox","7513","965360000","registro@cox.es","Antonio José Bernabéu Santo","PP","www.convega.com/aytocox","Alacant","El Baix Segura / Vega Baja","Plaza Glorieta, 1","03350"
"3061","","Daya Nueva","","Daya Nueva","1767","965700641","alcaldia@dayanueva.es","Pablo Girona Garcia","PSPV-PSOE","www.dayanueva.es","Alacant","El Baix Segura / Vega Baja","avda. constitución, 1","03159"
"3062","","Daya Vieja","","Daya Vieja","667","966715481","contratacion@dayavieja.es","José Vicente Fernández Costa","Compromís","www.dayavieja.es","Alacant","El Baix Segura / Vega Baja","Plaza del León, 2","03177"
"3064","","Dolores","","Dolores","7919","965726526","secretaria@dolores.es","José Joaquín Hernández Sáez","PSPV-PSOE","www.aytodolores.com","Alacant","El Baix Segura / Vega Baja","Plaza General Llopis, 1","03150"
"3070","","Formentera del Segura","","Formentera del Segura","4618","966792301","atencionalpublico@formenteradelsegura.es","Francisco Cano Murcia","PP","","Alacant","El Baix Segura / Vega Baja","Plaza Del Ayuntamiento, 1","03179"
"3074","","Granja de Rocamora","","Granja de Rocamora","2686","965360401","carmen@granjaderocamora.es","José Manuel Nadal Rocamora","PSPV-PSOE","www.aytogranja.com","Alacant","El Baix Segura / Vega Baja","Plaza de San Pedro, 1","03348"
"3076","","Guardamar del Segura","","Guardamar del Segura","17328","965729014","alcaldia@alcaldiaguardamar.com","Jose Luís Sáez Pastor","PSPV-PSOE","www.guardamardelsegura.es","Alacant","El Baix Segura / Vega Baja","Plaza Constitucion, 5","03140"
"3080","","Jacarilla","","Jacarilla","2108","965350375","ayuntamiento@jacarilla.es","Andrés Moñino Bascuñana","PP","www.jacarilla.es","Alacant","El Baix Segura / Vega Baja","Plaza de España, 1","03310"
"3099","","Orihuela","","Orihuela","82449","966076100","secretaria@orihuela.es","José Vegara Durá","PP","www.orihuela.es","Alacant","El Baix Segura / Vega Baja","Plaza Marques de Arneva, 1","03300"
