Id. Parada;Cod. Via / Cod. Vía;Num. Portal;Suprimida;Denominació / Denominación;Línies / Líneas;Pròximes Arribades / Proximas Llegadas;geo_shape;geo_point_2d
2180.0;32880.0;FTE 145;0;Gavines (parell) - Platja (2180);25;http://www.emtvalencia.es/QR.php?sec=est&p=2180;"{""coordinates"": [-0.2892315442557703, 39.297596296685256], ""type"": ""Point""}";39.297596296685256, -0.2892315442557703
2240.0;81612.0;S/N;0;Actor Antonio Ferrandis (imparell) - En Corts (2240);99;http://www.emtvalencia.es/QR.php?sec=est&p=2240;"{""coordinates"": [-0.3624389000375285, 39.448551757224315], ""type"": ""Point""}";39.448551757224315, -0.3624389000375285
2032.0;20310.0;4-6;0;Les Corts (2032);11,16,26,6,80,94,N10;http://www.emtvalencia.es/QR.php?sec=est&p=2032;"{""coordinates"": [-0.3742677624589383, 39.47872157854415], ""type"": ""Point""}";39.47872157854415, -0.3742677624589383
2194.0;32880.0;59;0;Gavines - Botavara (2194);25;http://www.emtvalencia.es/QR.php?sec=est&p=2194;"{""coordinates"": [-0.2945519235758161, 39.30528470219565], ""type"": ""Point""}";39.30528470219565, -0.2945519235758161
2193.0;32880.0;107;0;Gavines - Les dunes (2193);25;http://www.emtvalencia.es/QR.php?sec=est&p=2193;"{""coordinates"": [-0.29169434896846114, 39.30210177176995], ""type"": ""Point""}";39.30210177176995, -0.29169434896846114
2198.0;81238.0;S/N;0;Gola de Puchol (IV) (2198);24,25;http://www.emtvalencia.es/QR.php?sec=est&p=2198;"{""coordinates"": [-0.32086058821602126, 39.357493611266456], ""type"": ""Point""}";39.357493611266456, -0.32086058821602126
2165.0;42390.0;10;0;Pinars (parell) - El Saler (2165);24,25;http://www.emtvalencia.es/QR.php?sec=est&p=2165;"{""coordinates"": [-0.33254542772893125, 39.38320878943973], ""type"": ""Point""}";39.38320878943973, -0.33254542772893125
2257.0;55320.0;1;0;Palau de Justícia (2257);11,31,32,6,70,71,81,N10,N2;http://www.emtvalencia.es/QR.php?sec=est&p=2257;"{""coordinates"": [-0.36956817829456495, 39.47207596206278], ""type"": ""Point""}";39.47207596206278, -0.36956817829456495
2271.0;990215.0;133 ACC;0;Passeig Marítim - Pavia (2271);93,98;http://www.emtvalencia.es/QR.php?sec=est&p=2271;"{""coordinates"": [-0.32460945801156404, 39.4742645348839], ""type"": ""Point""}";39.4742645348839, -0.32460945801156404
2260.0;19350.0;13-15;0;Colón - Pascual i Genís (2260);10,11,28,32,40,70,71,8,81,N1,N10,N2,N8;http://www.emtvalencia.es/QR.php?sec=est&p=2260;"{""coordinates"": [-0.3735744715296922, 39.46819493294377], ""type"": ""Point""}";39.46819493294377, -0.3735744715296922
2261.0;38100.0;17;0;Estació del Nord (2261);19,35,40,6,8,N1,N7,N8,N9;http://www.emtvalencia.es/QR.php?sec=est&p=2261;"{""coordinates"": [-0.37649526457013743, 39.467514635721294], ""type"": ""Point""}";39.467514635721294, -0.37649526457013743
1283.0;62850.0;NOVES FACULTATS;0;Campus Tarongers (1283);40,71;http://www.emtvalencia.es/QR.php?sec=est&p=1283;"{""coordinates"": [-0.34532807433998286, 39.47927736170695], ""type"": ""Point""}";39.47927736170695, -0.34532807433998286
1298.0;28800.0;1;0;Espinosa - Ferran el Catòlic (1298);60,62,73;http://www.emtvalencia.es/QR.php?sec=est&p=1298;"{""coordinates"": [-0.3843959717064521, 39.4721221939705], ""type"": ""Point""}";39.4721221939705, -0.3843959717064521
