municipio,tipo,id_x,nombre_x,geometry_x,longitud_x,latitud_x,linea_x,intento1_x,indices,id_y,nombre_y,linea_y,geometry_y,longitud_y,latitud_y,intento1_y
Benicalap,emt,1067.0,Equador - Pintor Matarana,POINT (-0.392778225524496 39.49607883121975),-0.3927782255244965,39.49607883121975,,Equador - Pintor Matarana,1,1067.0,Equador - Pintor Matarana (1067),12,POINT (-0.3927782320996148 39.49607896649905),-0.39277823209961477,39.49607896649905,Equador - Pintor Matarana 
Benicalap,emt,1183.0,General Avil�s (par) - Dr. Nicasi Benlloch,POINT (-0.391460962857036 39.48803711704195),-0.39146096285703635,39.48803711704195,,General Avil�s  - Dr. Nicasi Benlloch,2,2032.0,Les Corts (2032),"11,16,26,6,80,94,N10",POINT (-0.3742677624589383 39.47872157854415),-0.3742677624589383,39.47872157854415,Les Corts 
Benicalap,emt,1183.0,General Avil�s (par) - Dr. Nicasi Benlloch,POINT (-0.391460962857036 39.48803711704195),-0.39146096285703635,39.48803711704195,,General Avil�s  - Dr. Nicasi Benlloch,2,1183.0,General Avilés - Dr. Nicasi Benlloch (1183),"64,94",POINT (-0.3914609581496043 39.488037243059374),-0.3914609581496043,39.488037243059374,General Avilés - Dr. Nicasi Benlloch 
Benicalap,emt,1319.0,Corts Valencianes - Palau de Congressos,POINT (-0.401818139798389 39.494183715692415),-0.40181813979838915,39.494183715692415,,Corts Valencianes - Palau de Congressos,3,1319.0,Corts Valencianes - Palau de Congressos (1319),"62,63,99,N3",POINT (-0.401818111537627 39.494183850192464),-0.40181811153762703,39.494183850192464,Corts Valencianes - Palau de Congressos 
Benicalap,emt,1331.0,Florista - Carrasqueta,POINT (-0.396208839095057 39.494049233440656),-0.39620883909505716,39.494049233440656,,Florista - Carrasqueta,4,1331.0,Florista - Carrasqueta (1331),28,POINT (-0.3962088210973265 39.49404940420439),-0.39620882109732647,39.49404940420439,Florista - Carrasqueta 
Benicalap,emt,1684.0,Dr. Peset Aleixandre - Av. Burjassot,POINT (-0.388570246131688 39.48893270455264),-0.38857024613168817,39.48893270455264,,Dr. Peset Aleixandre - Av. Burjassot,6,1684.0,Dr. Peset Aleixandre - Av. de Burjassot (1684),"60,64,89",POINT (-0.3885702988290171 39.48893284987757),-0.3885702988290171,39.48893284987757,Dr. Peset Aleixandre - Av. de Burjassot 
Benicalap,emt,1824.0,Joan XXIII - Germans Machado,POINT (-0.384842300215999 39.497039556121486),-0.38484230021599897,39.497039556121486,,Joan XXIII - Germans Machado,7,2257.0,Palau de Justícia (2257),"11,31,32,6,70,71,81,N10,N2",POINT (-0.369568178294565 39.47207596206278),-0.36956817829456495,39.47207596206278,Palau de Justícia 
Benicalap,emt,1825.0,Joan XXIII - Federico Alcacer Aguilar,POINT (-0.384097526225865 39.49502149111441),-0.3840975262258647,39.49502149111441,,Joan XXIII - Federico Alcacer Aguilar,8,2271.0,Passeig Marítim - Pavia (2271),"93,98",POINT (-0.324609458011564 39.4742645348839),-0.32460945801156404,39.4742645348839,Passeig Marítim - Pavia 
Benicalap,emt,1825.0,Joan XXIII - Federico Alcacer Aguilar,POINT (-0.384097526225865 39.49502149111441),-0.3840975262258647,39.49502149111441,,Joan XXIII - Federico Alcacer Aguilar,8,1825.0,Joan XXIII - Federico Alcacer Aguilar (1825),64,POINT (-0.3840975314338629 39.49502166239837),-0.3840975314338629,39.49502166239837,Joan XXIII - Federico Alcacer Aguilar 
Benicalap,emt,1826.0,Joan XXIII (impar) - F�lix del R�o,POINT (-0.382403322625228 39.49053056749751),-0.3824033226252276,39.49053056749751,,Joan XXIII  - F�lix del R�o,9,2260.0,Colón - Pascual i Genís (2260),"10,11,28,32,40,70,71,8,81,N1,N10,N2,N8",POINT (-0.3735744715296922 39.46819493294377),-0.3735744715296922,39.46819493294377,Colón - Pascual i Genís 
