gid;Códi / Código;Nom / Nombre;Tipus / Tipo;Línia / Línea;Pròximes Arribades / Próximas Llegadas;proximes_llegadas;geo_shape;geo_point_2d
237118;110;Mas del Rosari;1;4;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=110&lang=es;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=110&lang=va;"{""coordinates"": [-0.43582499030541805, 39.52495960421599], ""type"": ""Point""}";39.52495960421599, -0.43582499030541805
237200;183;La Cova;1;9;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=183&lang=es;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=183&lang=va;"{""coordinates"": [-0.48444443970429724, 39.49888996240954], ""type"": ""Point""}";39.49888996240954, -0.48444443970429724
237215;121;Aeroport;1;3,5;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=121&lang=es;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=121&lang=va;"{""coordinates"": [-0.47491943881419474, 39.49236683054559], ""type"": ""Point""}";39.49236683054559, -0.47491943881419474
237216;8;Almàssera;1;3;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=8&lang=es;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=8&lang=va;"{""coordinates"": [-0.3542666730314796, 39.512256661843445], ""type"": ""Point""}";39.512256661843445, -0.3542666730314796
237142;15;Colón;1;3,5,7,9;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=15&lang=es;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=15&lang=va;"{""coordinates"": [-0.3709277814305924, 39.47014621855607], ""type"": ""Point""}";39.47014621855607, -0.3709277814305924
237133;22;Ayora;1;5,7;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=22&lang=es;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=22&lang=va;"{""coordinates"": [-0.3429694478792123, 39.466426888957855], ""type"": ""Point""}";39.466426888957855, -0.3429694478792123
237176;107;Bétera;1;1;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=107&lang=es;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=107&lang=va;"{""coordinates"": [-0.45753055773591456, 39.5906067291247], ""type"": ""Point""}";39.5906067291247, -0.45753055773591456
237177;34;Torrent Avinguda;1;2,7;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=34&lang=es;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=34&lang=va;"{""coordinates"": [-0.47283333522766924, 39.431812326102154], ""type"": ""Point""}";39.431812326102154, -0.47283333522766924
237174;36;Alberic;1;1;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=36&lang=es;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=36&lang=va;"{""coordinates"": [-0.5235260124730562, 39.11705020984888], ""type"": ""Point""}";39.11705020984888, -0.5235260124730562
237169;41;Carlet;1;1;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=41&lang=es;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=41&lang=va;"{""coordinates"": [-0.5249416827217579, 39.22679905059184], ""type"": ""Point""}";39.22679905059184, -0.5249416827217579
