Geo Point;Geo Shape;codbarrio;nombre;coddistbar;coddistrit;codbar;transporte;stop_id;stop_name;stop_desc;X;Y;zone_id
39.52764376726197, -0.38580384886348595;"{""coordinates"": [-0.385803848863486, 39.52764376726197], ""type"": ""Point""}";1;BENIFARAIG;171;17;171;emt;1137;Ferrer i Bign� - Aiacor;C FERRER Y BIGNE 21 - BENIFARAIG;724691.91;4378596.09;
39.49103152203733, -0.3993369274208722;"{""coordinates"": [-0.399336927420872, 39.49103152203733], ""type"": ""Point""}";1;BENICALAP;161;16;161;metrovlc;54;Beniferri;NULL;723646.02;4374498.31;A
39.489562835999216, -0.3872583065788684;"{""coordinates"": [-0.387258306578868, 39.489562835999216], ""type"": ""Point""}";1;BENICALAP;161;16;161;metrovlc;96;Tr�nsits;NULL;724689.6;4374365.36;A
39.49443419501499, -0.39681665593963605;"{""coordinates"": [-0.396816655939636, 39.49443419501499], ""type"": ""Point""}";1;BENICALAP;161;16;161;metrovlc;99;Florista;NULL;723851.8600000001;4374882.28;A
39.49607883121975, -0.3927782255244965;"{""coordinates"": [-0.392778225524496, 39.49607883121975], ""type"": ""Point""}";1;BENICALAP;161;16;161;emt;1067;Equador - Pintor Matarana;AV ECUADOR  EL 93 (DAVANT) - VAL�NCIA;724193.89;4375074.89;
39.48803711704195, -0.39146096285703635;"{""coordinates"": [-0.391460962857036, 39.48803711704195], ""type"": ""Point""}";1;BENICALAP;161;16;161;emt;1183;General Avil�s (par) - Dr. Nicasi Benlloch;AV GENERAL AVILES 10 - VAL�NCIA;724333.04;4374185.52;
39.494183715692415, -0.40181813979838915;"{""coordinates"": [-0.401818139798389, 39.494183715692415], ""type"": ""Point""}";1;BENICALAP;161;16;161;emt;1319;Corts Valencianes - Palau de Congressos;AV CORTS VALENCIANES P.CONGRESSOS (PAR) - VAL�NCIA;723422.52;4374842.05;
39.494049233440656, -0.39620883909505716;"{""coordinates"": [-0.396208839095057, 39.494049233440656], ""type"": ""Point""}";1;BENICALAP;161;16;161;emt;1331;Florista - Carrasqueta;C FLORISTA 113 - VAL�NCIA;723905.37;4374841.06;
39.49194918548131, -0.39403448223014986;"{""coordinates"": [-0.39403448223015, 39.49194918548131], ""type"": ""Point""}";1;BENICALAP;161;16;161;emt;1332;Florista - Faura;C FLORISTA 63 - VAL�NCIA;724099.1199999999;4374613.36;
39.48893270455264, -0.38857024613168817;"{""coordinates"": [-0.388570246131688, 39.48893270455264], ""type"": ""Point""}";1;BENICALAP;161;16;161;emt;1684;Dr. Peset Aleixandre - Av. Burjassot;AV DOCTOR PESET ALEIXANDRE 138 - VAL�NCIA;724578.7899999999;4374292.14;
39.497039556121486, -0.38484230021599897;"{""coordinates"": [-0.384842300215999, 39.497039556121486], ""type"": ""Point""}";1;BENICALAP;161;16;161;emt;1824;Joan XXIII - Germans Machado;AV JUAN XXIII 51 ACC - VAL�NCIA;724873.29;4375201.33;
39.49502149111441, -0.3840975262258647;"{""coordinates"": [-0.384097526225865, 39.49502149111441], ""type"": ""Point""}";1;BENICALAP;161;16;161;emt;1825;Joan XXIII - Federico Alcacer Aguilar;AV JUAN XXIII 45 ACC - VAL�NCIA;724943.85;4374979.18;
39.49053056749751, -0.3824033226252276;"{""coordinates"": [-0.382403322625228, 39.49053056749751], ""type"": ""Point""}";1;BENICALAP;161;16;161;emt;1826;Joan XXIII (impar) - F�lix del R�o;AV JUAN XXIII 3 - VAL�NCIA;725104.05;4374484.91;
39.49406698764656, -0.3907715367358549;"{""coordinates"": [-0.390771536735855, 39.49406698764656], ""type"": ""Point""}";1;BENICALAP;161;16;161;emt;1833;Equador - Verbena;AV ECUADOR  EL S/N (JUNT.C/VERBENA) - VAL�NCIA;724372.94;4374856.57;
39.494982731923734, -0.386254266776117;"{""coordinates"": [-0.386254266776117, 39.494982731923734], ""type"": ""Point""}";1;BENICALAP;161;16;161;emt;1835;Federico Alcacer Aguilar - Poeta Serrano Clavero;C  26 (DAVANT) - VAL�NCIA;724758.49;4374969.49;
39.49565681483716, -0.38219861797780147;"{""coordinates"": [-0.382198617977801, 39.49565681483716], ""type"": ""Point""}";1;BENICALAP;161;16;161;emt;1837;Riu Nervi�n - Riu Segre;C  11 - VAL�NCIA;725105.11;4375054.45;
39.49321953677064, -0.38356455697677544;"{""coordinates"": [-0.383564556976775, 39.49321953677064], ""type"": ""Point""}";1;BENICALAP;161;16;161;emt;1847;Castellonet - Joan XXIII;C  1 (DAVANT) - VAL�NCIA;724995.5;4374780.49;
39.494261177862555, -0.390846013478566;"{""coordinates"": [-0.390846013478566, 39.494261177862555], ""type"": ""Point""}";1;BENICALAP;161;16;161;emt;1850;Equador - Music Fayos;AV ECUADOR  EL 69 (DAVANT) - VAL�NCIA;724365.91;4374877.94;
39.49658988180053, -0.38109650969306463;"{""coordinates"": [-0.381096509693065, 39.49658988180053], ""type"": ""Point""}";1;BENICALAP;161;16;161;emt;304;Cam� de Montcada (impar) - Alemany;CAMI MONCADA 123 - VAL�NCIA;725196.8800000001;4375160.78;
39.49239327713208, -0.3933096814543277;"{""coordinates"": [-0.393309681454328, 39.49239327713208], ""type"": ""Point""}";1;BENICALAP;161;16;161;emt;308;Burjassot - Pintor Matarana;AV BURJASOT 186 - VAL�NCIA;724160.03;4374664.46;
