id,name,line,geometry,longitude,latitude,type,town
237118,Mas del Rosari,4,POINT (-0.435824990305418 39.52495960421599),-0.43582499030541805,39.52495960421599,metrovalencia,La Coma - València
237200,La Cova,9,POINT (-0.4844444397042972 39.49888996240954),-0.48444443970429724,39.49888996240954,metrovalencia,Manises
237215,Aeroport,"3,5",POINT (-0.4749194388141947 39.49236683054559),-0.47491943881419474,39.49236683054559,metrovalencia,Manises
237216,Almàssera,3,POINT (-0.3542666730314796 39.512256661843445),-0.3542666730314796,39.512256661843445,metrovalencia,Almàssera
237142,Colón,"3,5,7,9",POINT (-0.3709277814305924 39.47014621855607),-0.3709277814305924,39.47014621855607,metrovalencia,Sant Francesc - València
237133,Ayora,"5,7",POINT (-0.3429694478792123 39.466426888957855),-0.3429694478792123,39.466426888957855,metrovalencia,Ayora - València
237176,Bétera,1,POINT (-0.4575305577359146 39.5906067291247),-0.45753055773591456,39.5906067291247,metrovalencia,Bétera
237177,Torrent Avinguda,"2,7",POINT (-0.4728333352276692 39.431812326102154),-0.47283333522766924,39.431812326102154,metrovalencia,Torrent
237174,Alberic,1,POINT (-0.5235260124730562 39.11705020984888),-0.5235260124730562,39.11705020984888,metrovalencia,Alberic
237169,Carlet,1,POINT (-0.5249416827217579 39.22679905059184),-0.5249416827217579,39.22679905059184,metrovalencia,Carlet
237160,Col·legi El Vedat,1,POINT (-0.460652768267218 39.423133889334935),-0.460652768267218,39.423133889334935,metrovalencia,Torrent
237242,Moreres,10,POINT (-0.3384079998144471 39.450150039275506),-0.3384079998144471,39.450150039275506,metrovalencia,Moreres - València
237139,Sant Isidre,"1,2,7",POINT (-0.4028027651123522 39.45103458536643),-0.40280276511235225,39.45103458536643,metrovalencia,Sant Isidre - València
237126,Sant Miquel dels Reis,"1,6",POINT (-0.3684949876810832 39.49721912509855),-0.36849498768108324,39.49721912509855,metrovalencia,Orriols - València
237199,La Presa,9,POINT (-0.5158333181519046 39.517223397451374),-0.5158333181519046,39.517223397451374,metrovalencia,Manises
237197,Masia de Traver,9,POINT (-0.546666681316191 39.53805545992607),-0.546666681316191,39.53805545992607,metrovalencia,Riba-roja de Túria
237140,Jesús,"1,2,7",POINT (-0.3845416610541635 39.45920185236387),-0.38454166105416354,39.45920185236387,metrovalencia,La Raiosa - València
237141,Patraix,"1,2,7",POINT (-0.3905083240820051 39.45645145583467),-0.3905083240820051,39.45645145583467,metrovalencia,Patraix - València
