"";"nombre";"tipo";"direccion";"geometry";"longitud";"latitud";"linea"
"1";"BENIFARAIG";"emt";"Ferrer i Bign� - Aiacor";"POINT (-0.385803848863486 39.52764376726197)";-0,385803848863486;39,527643767262;NA
"2";"BENICALAP";"emt";"Equador - Pintor Matarana";"POINT (-0.392778225524496 39.49607883121975)";-0,392778225524496;39,4960788312197;NA
"3";"BENICALAP";"emt";"General Avil�s (par) - Dr. Nicasi Benlloch";"POINT (-0.391460962857036 39.48803711704195)";-0,391460962857036;39,4880371170419;NA
"4";"BENICALAP";"emt";"Corts Valencianes - Palau de Congressos";"POINT (-0.401818139798389 39.494183715692415)";-0,401818139798389;39,4941837156924;NA
"5";"BENICALAP";"emt";"Florista - Carrasqueta";"POINT (-0.396208839095057 39.494049233440656)";-0,396208839095057;39,4940492334407;NA
"6";"BENICALAP";"emt";"Florista - Faura";"POINT (-0.39403448223015 39.49194918548131)";-0,39403448223015;39,4919491854813;NA
"7";"BENICALAP";"emt";"Dr. Peset Aleixandre - Av. Burjassot";"POINT (-0.388570246131688 39.48893270455264)";-0,388570246131688;39,4889327045526;NA
"8";"BENICALAP";"emt";"Joan XXIII - Germans Machado";"POINT (-0.384842300215999 39.497039556121486)";-0,384842300215999;39,4970395561215;NA
"9";"BENICALAP";"emt";"Joan XXIII - Federico Alcacer Aguilar";"POINT (-0.384097526225865 39.49502149111441)";-0,384097526225865;39,4950214911144;NA
"10";"BENICALAP";"emt";"Joan XXIII (impar) - F�lix del R�o";"POINT (-0.382403322625228 39.49053056749751)";-0,382403322625228;39,4905305674975;NA
"11";"BENICALAP";"emt";"Equador - Verbena";"POINT (-0.390771536735855 39.49406698764656)";-0,390771536735855;39,4940669876466;NA
"12";"BENICALAP";"emt";"Federico Alcacer Aguilar - Poeta Serrano Clavero";"POINT (-0.386254266776117 39.494982731923734)";-0,386254266776117;39,4949827319237;NA
"13";"BENICALAP";"emt";"Riu Nervi�n - Riu Segre";"POINT (-0.382198617977801 39.49565681483716)";-0,382198617977801;39,4956568148372;NA
"14";"BENICALAP";"emt";"Castellonet - Joan XXIII";"POINT (-0.383564556976775 39.49321953677064)";-0,383564556976775;39,4932195367706;NA
"15";"BENICALAP";"emt";"Equador - Music Fayos";"POINT (-0.390846013478566 39.494261177862555)";-0,390846013478566;39,4942611778626;NA
